cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,start_year,end_year,computed_total,residual,validation_label
2008,75,Airports,Airports,Annual Allocation - Brown Field,31-001.1,Council District: 8; Community Plan: Otay Mesa,,1800000,"This annual allocation provides for capital improvements at Brown Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding. These improvements will not be impacted by the Brown Field Development Project.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",,1800000,,,,,,,,,,,2009,2009,1800000,0,
2008,76,Airports,Airports,Annual Allocation - Montgomery Field,31-001.0,Council District: 6; Community Plan: Kearny Mesa,,600000,"This annual allocation provides for capital improvements at Montgomery Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",,600000,,,,,,,,,,,2009,2009,600000,0,
2008,77,Airports,Airports,Brown Field Airport Airfield Electrical System Upgrades Phase I,31-300.0,Council District: 8; Community Plan: Otay Mesa,1735381,1735381,This project provides for the design and construction of electrical system upgrades at the Brown Field Airport Airfield.,This project enhances airport safety.,0,0,0,0,0,0,0,0,0,0,0,0,,,1735381,0,
2008,78,Airports,Airports,Montgomery Field Airport Northwest Heliport,31-313.0,Council District: 6; Community Plan: Kearny Mesa,557674,1103760,This project provides for redesign of the heliport to address all environmental constraints which delayed the construction of the heliport under the previous design. The current design agreement with P&D (DMJM) will be amended to provide the additional design services. This heliport will meet the needs of airport users.,"Constructing the heliport will result in redefining helicopter flight patterns, reducing noise and flight over residential areas to the south of the airport.",0,0,273043,273043,0,0,0,0,0,0,0,0,2010,2011,1103760,0,
2008,81,City Comptroller,Communications,Enterprise Resource Planning System Core Project,92-000.0,Council District: Citywide; Community Plan: Citywide,21300000,29500000,This project provides for replacement of legacy software systems currently in use by City departments under the Office of the Chief Financial Officer (CFO) and Business and Support Services. The Enterprise Resource Planning (ERP) System will be used by all City departments for day-to-day business operations and human resource needs and is expected to support the City's information technology (IT) needs for the next 15 years.,"As identified in the Audit Committee's recommendation (Kroll Report), the major software systems being used by the departments under the Office of the Chief Financial Officer (CFO) and Business and Support Services no longer meet the City's requirements for responsible financial management, efficient human resources management, and IT operational efficiency. This includes the following major systems: AMRIS (General Ledger), ALVA (Financial Reporting), APIS (Accounts Payable), ARIS (Accounts Receivable), FMIS (Budgeting and Financial Management), FAMIS (Fixed Assest Management), OPIS (Purchasing), CAPPS (Payroll), and PATS (Applicant Tracking).",0,6825624,1374376,0,0,0,0,0,0,0,0,0,2009,2010,29500000,0,
2008,83,City Planning and Community Investment,Centre City Development Corporation,Annual Allocation - Downtown Parking Projects,39-803.0,"Council District: 2, 8; Community Plan: Centre City",,1500000,"This annual allocation provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementation of a ""Wayfinding"" program throughout downtown to place directional signs in the Downtown San Diego area, implementation of residential parking permits, and payment of debt service. These funds have also been pledged for the payment of 6th Avenue and Market Street, and 6th Avenue and K Street parking facilities.","The Redevelopment Plan of the Centre City Redevelopment Area calls for the elimination of blight in Centre City. The Redevelopment Plan was adopted on May 11, 1992 by Council Ordinance O-17767. The Parking Meter Revenue Allocation Policy (Council Policy 100-18) was adopted on March 4, 1997 and the Comprehensive Downtown Parking Plan was adopted on December 2, 1997.",,1500000,,,,,,,,,,,2009,2009,1500000,0,
2008,84,City Planning and Community Investment,Economic Development,Border Infrastructure Study (SB 207),39-235.0,Council District: 8; Community Plan: Otay Mesa,100000,200000,The project provides for a vision and an implementation strategy for infrastructure development in Otay Mesa. This is the first phase in establishing a Border Development Zone (a 30-year designation) as authorized by State legislation (SB 207). The study will identify the needed public infrastructure to enhance economic development along the U.S./Mexico border.,The study will identify the public infrastructure needed to support future industrial development in Otay Mesa. This is the first and necessary step in creating an infrastructure financing plan.,0,0,100000,0,0,0,0,0,0,0,0,0,2010,2010,200000,0,
2008,85,City Planning and Community Investment,Economic Development,City Heights/University Avenue - Streetscape Improvements,39-210.0,Council District: 3; Community Plan: Mid-City,1077495,1677495,"This project provides for public improvements along University Avenue in City Heights to improve deteriorated infrastructure, provide visual enhancements, and support commercial revitalization.",Individual projects are important components of the Mid-City Commercial Revitalization Program and the City Heights Redevelopment Plan.,0,0,600000,0,0,0,0,0,0,0,0,0,2010,2010,1677495,0,
2008,86,City Planning and Community Investment,Economic Development,Ray Street Improvements,39-084.0,Council District: 3; Community Plan: Greater North Park,125000,125000,"This project provides for sidewalk, curb and gutter replacement, trees, enhanced paving, street furniture, and identity signage on one block of Ray Street from University Avenue to North Park Way in the North Park Community.","This one-block area of Ray Street lies within the boundaries of the North Park Main Street Business Improvement District and the North Park Redevelopment Project Area. Due to the activism of the business owners on the street, this blighted area is being enhanced with facade improvements, a monthly gallery event and leasehold turnover consistent with the art-oriented theme of this small district. This project will add enhancements in the public right-of-way.",0,0,0,0,0,0,0,0,0,0,0,0,,,125000,0,
2008,87,City Planning and Community Investment,Facilities - Eng,Chollas Creek South Branch Phase One Implementation,37-446.0,"Council District: 4, 8; Community Plan: Mid-City, Barrio Logan, Southeastern San Diego",1262644,41656644,"This project provides for the Chollas Creek Enhancement Program, which builds upon long-standing City Council adopted policies to create a greater level of design guidance for future development related to wetland and upland restoration, channel reconstruction, trail systems and landscaping design, public art, an educational component and interpretive program, as well as long-term funding of improvements to the creek. The Enhancement Program identifies eight segments of the creek with recommendations and proposed projects for each segment.",The Chollas Creek Enhancement Program began in the 1970s with the identification of the creek's potential and guidelines being added to several community plans. The adoption of the Chollas Creek Enhancement Program in 2002 puts various guidelines from the below mentioned community plans into one document for better coordinated implementation. Long-term funding proposals relate to the six phases identified by the Enhancement Program with implementation to occur pursuant to funding availability.,0,394000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,2009,2019,41656644,0,
2008,88,City Planning and Community Investment,Facilities - Eng,Multiple Species Conservation Program - Property Acquisition,37-443.0,Council District: Citywide; Community Plan: Citywide,14261050,14761050,This project provides for acquiring property in support of the Multiple Species Conservation Program (MSCP).,"The Multiple Species Conservation Program Implementing Agreement, Section 10(a), Take Authorization of the Endangered Species Act, mandates a statutory responsibility on the part of the City to assemble the MSCP preserve. This responsibility includes public land acquisition to be used for wildlife habitat.",0,0,500000,0,0,0,0,0,0,0,0,0,2010,2010,14761050,0,
2008,89,City Planning and Community Investment,Other Parks,Torrey Pines City Park General Development Plan,29-965.0,Council District: 1; Community Plan: University,500000,500000,"This project provides for the preparation of a General Development Plan for the 447.0 gross acre park located on North Torrey Pines Road. The General Development Plan will incorporate the Glider Port Leasehold and will provide guidance for the development and protection of the Park's beautiful and historic nature. Amenities may include passive use areas, access road and parking lot, children's play area, pedestrian/bicycle paths connecting to beach access, accessibility improvements, signage, site furnishings, and miscellaneous landscaping. Construction may be a component of this project and may begin once design is completed.","This project is required pursuant to a Settlement Agreement between the City and the Coastal Law Enforcement Action Network for violations resulting from unapproved on-site grading activities by the Lessee. Additionally, the park site is located in a community deficient in parks and recreational facilities per the City Progress Guide and General Plan Guidelines.",0,0,0,0,0,0,0,0,0,0,0,0,,,500000,0,
2008,93,Engineering & Capital Projects,Bikeways,54th Street and Euclid Avenue Bike Lanes and Route,58-179.0,"Council District: 4, 7; Community Plan: Southeastern San Diego, College Area",130000,130000,This project provides for the installation of Class II Bike Lanes on 54th Street between Trojan and Euclid Avenues and for Class III Bike Route signage and pavement markings along Euclid Avenue between 54th Street and Market Street.,This project will close a gap in bicycle routes between the College Area and Southeastern San Diego and its neighborhoods.,0,0,0,0,0,0,0,0,0,0,0,0,,,130000,0,
2008,94,Engineering & Capital Projects,Bikeways,Bayshore Bikeway,58-140.0,Council District: 8; Community Plan: Otay Mesa/Nestor,4658774,5195274,This project provides for constructing a Class I bikeway from the northern end of 13th Street to Main Street at the Interstate 5 interchange at the southeast corner of San Diego Bay.,This project completes the missing segment of the planned bike path around San Diego Bay from Point Loma to Coronado.,0,0,536500,0,0,0,0,0,0,0,0,0,2010,2010,5195274,0,
2008,95,Engineering & Capital Projects,Bikeways,Bicycle Safety and Commuting Education Program,58-167.0,Council District: Citywide; Community Plan: Citywide,1365994,1365994,"This project provides for a Bicycle Safety and Commuting Education Program. This program reaches out to school children, teachers, parents, law enforcement personnel, and others through school workshops and hands-on training. This project is funded by SANDAG.",This project is needed to continue the Bicycle Safety and Commuting Education Program for another year.,0,0,0,0,0,0,0,0,0,0,0,0,,,1365994,0,
2008,96,Engineering & Capital Projects,Bikeways,Camino del Rio North Bike Lanes,58-164.0,Council District: 6; Community Plan: Mission Valley,86000,416000,This project provides for the widening of Camino Del Rio North from State Route 15 crossing to Mission City Parkway to accommodate new bike lanes.,This project is needed to complete the missing bike lane segment on Camino Del Rio North.,0,0,330000,0,0,0,0,0,0,0,0,0,2010,2010,416000,0,
2008,97,Engineering & Capital Projects,Bikeways,City Bicycle Master Plan,58-153.0,Council District: Citywide; Community Plan: Citywide,125000,275000,"This project provides for documenting existing conditions and making recommendations for future bicycle facilities. It is an essential reference tool for updating community plan, and for use in reviewing development proposals and street improvement plans.","To facilitate grant fund appliations, a new Master Plan is required to update the existing 2002 Biclycle Master Plan.",0,150000,0,0,0,0,0,0,0,0,0,0,2009,2009,275000,0,
2008,98,Engineering & Capital Projects,Bikeways,Coastal Rail Trail,58-162.0,"Council District: 1; Community Plan: Torrey Pines, University",929038,22016138,"This project provides for a bikeway route between the San Diego-Del Mar city limit and Gilman Drive, generally in the existing San Diego Northern Railway right-of-way.","This project is part of a larger multi-jurisdictional project, which proposes a bikeway along the coast in the cities of Oceanside, Encinitas, Solana Beach, Carlsbad, Del Mar, and San Diego. It is intended to provide regional connectivity for both commuting bicylists and recreational activities.",0,0,2087100,19000000,0,0,0,0,0,0,0,0,2010,2011,22016138,0,
2008,99,Engineering & Capital Projects,Bikeways,Friars Road to Pacific Highway Bike Path,58-150.0,"Council District: 6; Community Plan: Linda Vista, Mission Valley",103121,728121,This project provides for designing and constructing a Class I bike path connecting Friars Road to Pacific Highway.,This project will provide shortcut access between the one-way Class II eastbound bike paths on Friars Road to a one-way Class II bike path northbound on the Pacific Highway bridge.,0,0,625000,0,0,0,0,0,0,0,0,0,2010,2010,728121,0,
2008,100,Engineering & Capital Projects,Bikeways,Kearny Villa Road Bike Lane Improvements,58-198.0,Council District: 6; Community Plan: Kearny Mesa,300000,300000,This project provides for the resurfacing and repair of damaged bicycle lanes on Kearny Villa Road between Miramar Way and State Route 163.,"The deteriorating asphalt in the bicycle lane causes bicyclists to ride close to the main travel lanes, where there are high volumes of high-speed traffic. This project will replace the existing bicycle lane with a newer, blue-colored asphalt that will be more durable and more visible.",0,0,0,0,0,0,0,0,0,0,0,0,,,300000,0,
2008,101,Engineering & Capital Projects,Bikeways,Minor Bicycle Facilities,58-204.0,Council District: Citywide; Community Plan: Citywide,,15000,This annual allocation provides for the installation of signage and pavement markings for Class II bike lanes or Class III bike routes at various locations throughout the City on an as-needed basis.,"Minor bicycle projects are too low-cost to compete for regional grant funding and rely on City funding for installation. This project will provide a funding source for small, low-cost bicycle projects.",,15000,,,,,,,,,,,2009,2009,15000,0,
2008,102,Engineering & Capital Projects,Bikeways,Mission Trails Bike Path Study,58-160.0,"Council District: 7; Community Plan: Mission Trails Regional Park, Navajo",100000,100000,"This project provides for a feasibility study of a Class I bike path between Zion Avenue and City Limits/City of Santee along the San Diego River. The feasibility study will devise several alternative alignments for the bike path, analyze the cost, determine environmental impacts, solicit community input, and consider other factors associated with each alternative.",This bike path is needed for the continuity of the bikeway system along the San Diego River in accordance with Navajo Community Plan.,0,0,0,0,0,0,0,0,0,0,0,0,,,100000,0,
2008,103,Engineering & Capital Projects,Bikeways,Ocean Beach Bike Path/Hotel Circle North Bikeway Design,58-156.0,"Council District: 2, 6; Community Plan: Mission Valley, Ocean Beach",2550000,2550000,"This project provides for Class I bike path to connect the existing Ocean Beach bike path (at its easterly end) to Hotel Circle North, along the south side of the San Diego River.",This bike path is needed as a critical connection for bicyclists in this area in accordance with the Mission Valley Community Plan.,0,0,0,0,0,0,0,0,0,0,0,0,,,2550000,0,
2008,104,Engineering & Capital Projects,Bikeways,Poway Road - Class I Bicycle Lane,58-089.0,Council District: 5; Community Plan: Sabre Springs,1293000,1293000,"This project provides for the construction of a Class I bicycle path (combined pedestrian and bicycle travel) easterly along the south side of Poway Road from the I-15 Poway Road interchange to Sabre Springs Parkway, approximately 1,950 feet in length. This project replaces the existing Class II bikeway located within the shoulder of Poway Road.","The Sabre Springs Community Plan encourges the development of a system of bikeways within the community, tying into the regional bicycle network.",0,0,0,0,0,0,0,0,0,0,0,0,,,1293000,0,
2008,105,Engineering & Capital Projects,Bikeways,Rose Creek Bikeway,58-147.0,"Council District: 2, 6; Community Plan: Mission Bay Park, Pacific Beach",1800000,5100000,This project provides for designing and constructing a pedestrian/bicycle bridge across Rose Creek and a paved Class I bike path to connect the westerly end of the new bridge to Pacific Beach Drive.,This project will close a gap in the existing network of bike paths and lanes in Mission Bay Park. The project will allow pedestrians and bicyclists to circumvent a much longer existing route along Grand Avenue.,0,0,3300000,0,0,0,0,0,0,0,0,0,2010,2010,5100000,0,
2008,106,Engineering & Capital Projects,Bikeways,Safety in Traffic Education Program (STEP),58-202.0,Council District: Citywide; Community Plan: Citywide,20000,20000,"This project provides for development of a public education campaign to promote safe use of streets by motorists, pedestrians, and bicyclists.","This project will result in a guide for a multi-media ad campaign to raise public awareness of the interactions of motorists, pedestrians, and bicyclists on City streets. Various aspects of the public education campaign will target specific elements of the traveling public. Additional funding will be required for campaign implementation.",0,0,0,0,0,0,0,0,0,0,0,0,,,20000,0,
2008,107,Engineering & Capital Projects,Bikeways,San Diego River Bike Path - Mission Trails to Mission Bay,52-781.0,"Council District: 6, 7; Community Plan: Mission Valley, Navajo",75000,75000,This project provides for various bikeway projects along the San Diego River Bike Path between Mission Trails Park and MIssion Bay.,"This project will provide an alternate to Old Town, Ocean Beach, Friars Road and Mission Gorge Road for bicyclists and pedestrians along the San Diego River and Navajo Community Plan.",0,0,0,0,0,0,0,0,0,0,0,0,,,75000,0,
2008,108,Engineering & Capital Projects,Bikeways,San Diego River Bike Path - Mission Valley,58-144.0,Council District: 6; Community Plan: Mission Valley,201500,201500,This project provides for various bikeway projects in the Mission Valley community.,"This project will provide various, as-needed bikeways for bicyclists and pedestrians for the Mission Valley Community.",0,0,0,0,0,0,0,0,0,0,0,0,,,201500,0,
2008,109,Engineering & Capital Projects,Bikeways,San Diego River Multi-Use Bicycle and Pedestrian Path,58-191.0,Council District: 6; Community Plan: Mission Valley,107999,827999,"This project provides for a Class I bicycle and pedestrian path under State Route 163 from Hazard Center Drive to Fashion Valley Mall on the north side of the San Diego River. The project includes a paved bicycle and pedestrian path, grading, fill, striping, signage, bollards, and lighting for the path including the State Route 163 undercrossing.",This project is part of the Bicycle Master Plan to guide the development and the creation of a firm foundation for a bicycle-friendly environment to serve bicyclists and pedestrians throughout the City. These improvements will benefit the community by increasing the mobility and safety through the enhancement of the bicycle path environment.,0,320000,400000,0,0,0,0,0,0,0,0,0,2009,2010,827999,0,
2008,110,Engineering & Capital Projects,Bikeways,State Route 15 Bikeway,58-127.0,Council District: 3; Community Plan: Mid-City,843868,1003868,This project provides for the construction of a Class I bikeway along State Route 15 from Landis Street to Adams Avenue.,This project provides the needed bikeway/bike path parallel with State Route 15 from Landis Street to Adams Avenue.,0,40000,120000,0,0,0,0,0,0,0,0,0,2009,2010,1003868,0,
2008,111,Engineering & Capital Projects,Bikeways,State Route 56 Bike Interchanges,58-171.0,"Council District: 1; Community Plan: Rancho Penasquitos, Pacific Highlands Ranch, Del Mar Mesa, Torrey Highlands, Black Mountain Ranch",1200000,11277000,"This project will provide for a bicycle path interchange and community connection points at Black Mtn. Rd., Cam. Del Sur, Rancho Del Sol Wy, and Torey Meadows Dr along State Route 56.",Bicyclists and pedestrians traveling the SR-56 bicycle path and needing to cross through the interchange areas have to contend with high volumes of conflicting vehicular traffic. This project will expedite the movements along the bicycle path through and connecting to the interchange areas.,0,1750000,7191432,605168,0,0,530400,0,0,0,0,0,2009,2014,11277000,0,
2008,112,Engineering & Capital Projects,Bikeways,Taylor Street - Bikeway,58-203.0,Council District: 2; Community Plan: Old San Diego,250000,250000,"This project provides for the replacement of a bicycle lane on Taylor Street between Presidio Drive and Hotel Circle South, adjacent to Presidio Park.","Erosion has caused the cliffside at this location to destabilize. Temporary barriers are in place to prevent additional rockslide onto Taylor Street; however, these barriers have eliminated the bicycle lane. This project will re-establish the bike lane.",0,0,0,0,0,0,0,0,0,0,0,0,,,250000,0,
2008,113,Engineering & Capital Projects,Bikeways,Traffic Safety and Education Program,58-201.0,Council District: Citywide; Community Plan: Citywide,50000,50000,"This project provides for 100 classes in bicycle safety, specifically tailored for commuters.",This project builds on the City's Smart Cycling and Bike to Work commuter education programs. The classes will focus on bicycle safety and route selection and can include components relative to specific employment locations. The project's ultimate goal is to increase bicycling as a viable commuting option.,0,0,0,0,0,0,0,0,0,0,0,0,,,50000,0,
2008,114,Engineering & Capital Projects,Bikeways,University Avenue at Alabama Street Bicycle and Pedestrian Safety Improvements,58-196.0,Council District: 3; Community Plan: Greater North Park,120000,120000,"This project provides for the restriping of University Avenue from east of Florida Street to the west side of Mississippi Street, including the two intersections of University Avenue at Alabama Street to provide a center refuge median and wider travel lanes to improve bicycle and pedestrian safety.","This project will provide for the removal of parking on both sides of the street and eliminate left turns in and out of both intersections of University Avenue and Alabama Street. In addition, the project will provide center refuge median and wider travel lanes to improve bicycle and pedestrian safety.",0,0,0,0,0,0,0,0,0,0,0,0,,,120000,0,
2008,115,Engineering & Capital Projects,Bikeways,Vista Sorrento Parkway Bike Lanes,58-157.0,"Council District: 1, 5; Community Plan: Mira Mesa, Torrey Pines",607500,607500,This project provides for the construction of bike lanes on Vista Sorrento Parkway between Sorrento Valley Boulevard and Lusk Boulevard by widening the existing roadway.,"Bicyclists along this section of Vista Sorrento Parkway currently must contend with heavy volumes and high speeds from vehicular traffic in common lanes. The proposed bike lanes will provide a separate venue for bicyclists to use, which is in accordance with the Torrey Pines and Mira Mesa Community Plans.",0,0,0,0,0,0,0,0,0,0,0,0,,,607500,0,
2008,116,Engineering & Capital Projects,Economic Development,El Cajon Boulevard Commercial Revitalization - Interstate 805 to 54th Street,39-209.0,"Council District: 3, 7; Community Plan: Greater North Park, Mid-City",2284087,2821279,"This project provides for streetscape improvements, which include sidewalk replacement, curb and gutter replacement, and the installation of street lights, along El Cajon Boulevard from Interstate 805 east to 54th Street.",The El Cajon Boulevard revitalization project has been a part of the Mid-City Commercial Revitalization Program as a Community Development Block Grant and TransNet funded activity. This project will continue the approved design along additional commercial blocks. The El Cajon Boulevard Maintenance Assessment District (MAD) Assessment Engineer's Report also identifies lighting as an improvement within the project area.,0,50000,487192,0,0,0,0,0,0,0,0,0,2009,2010,2821279,0,
2008,117,Engineering & Capital Projects,Economic Development,El Cajon Boulevard Median Improvements,39-234.0,Council District: 7; Community Plan: College Area,2060920,2220920,"This project provides for median improvements on El Cajon Boulevard. Phase I provides for landscape improvements on El Cajon Boulevard between 54th Street and 73rd Street (the City boundary with La Mesa). It will replace substandard curbs and asphalt-surfaced raised medians with new curbs and color stamped concrete. Phase II will install landscaping and irrigation. Enhancements may include street trees, shrubs, ground covers, automatic irrigation, enriched paving, signage and art work. The project also includes provisions for the installation of community area signs within the medians and a new traffic signal at the intersection of El Cajon Boulevard and Dayton Street.","Streetscape and landscape improvements on El Cajon Boulevard have been part of the commercial revitalization efforts of property owners, the business district and the City for more than ten years. The College Area Business Improvement District has adopted a Master Plan for their area that includes signage, public artwork, street trees, sidewalk replacements, enhanced paving, lighting and landscaping.",0,160000,0,0,0,0,0,0,0,0,0,0,2009,2009,2220920,0,
2008,118,Engineering & Capital Projects,Economic Development,North Park/University Avenue - Streetscape Improvements,39-207.0,Council District: 3; Community Plan: Greater North Park,2306500,2306500,This project provides for neighborhood identification signage and public improvements along University Avenue and adjacent streets in North Park.,"Public improvement and neighborhood identification are an important part of the revitalization project, which is a continuing effort to improve the economic base of the North Park community. This project will extend the existing demonstration block concept east and west of the completed phases at 30th Street and University Avenue.",0,0,0,0,0,0,0,0,0,0,0,0,,,2306500,0,
2008,119,Engineering & Capital Projects,Economic Development,Washington/Goldfinch Improvements,39-216.0,Council District: 2; Community Plan: Uptown,1700500,1800500,"This project provides for streetscape improvements on Washington Street between San Diego Avenue and Front Street, and on Goldfinch Street between University Avenue and Fort Stockton Drive.",The Mission Hills Community adopted the Washington Street Beautification Master Plan in Fiscal Year 1997. Streetscape improvements are being installed to revitalize the Mission Hills Business District.,0,100000,0,0,0,0,0,0,0,0,0,0,2009,2009,1800500,0,
2008,120,Engineering & Capital Projects,Facilities,Annual Allocation - ADA Improvements,37-064.0,Council District: Citywide; Community Plan: Citywide,,10960979,This project provides for City facilities improvements related to the Americans with Disability Act (ADA). Funding ADA obligation's is one of the Mayor's eight significant areas.,City facilities improvements related to ADA will allow greater access to City facilities for citizens with disabilities.,,10960979,,,,,,,,,,,2009,2009,10960979,0,
2008,121,Engineering & Capital Projects,Facilities - Eng,Annual Allocation - Undergrounding of City Utilities,37-028.0,Council District: Citywide; Community Plan: Citywide,,60000000,"This annual allocation provides for additional underground conversion projects to augment the California Public Utilities Commission (CPUC) Rule 20A projects as well as provides for the necessary administrative expenses, conversion of City-owned street lighting, and resurfacing of roadways associated with the undergrounding of utilities.","The CPUC mandates that local utility companies allocate funding for undergrounding of utilities at the direction of the local municipality. San Diego Gas and Electric, Pacific Bell and the cable television companies spend several million dollars annually to underground overhead facilities. The City must provide the utility companies with a priority listing of projects, aid coordination, establish underground utility districts and give informational support. Construction costs for undergrounding are paid by utility companies in accordance with Public Utilities Commission Decisions 73078, 820118 and Case 8209. If not provided with administrative support, millions of dollars of utility company construction money could go unused. Additional underground conversion projects are funded through the City Undergrounding Surcharge Fund. This fund is used solely for the undergrounding of utilities and cannot be used for other purposes.",,60000000,,,,,,,,,,,2009,2009,60000000,0,
2008,122,Engineering & Capital Projects,Facilities - Eng,City Administration Building Fire Protection and Life Safety Improvement,37-900.0,Council District: 2; Community Plan: Centre City,1198000,6198000,"This project provides for the installation of a fire sprinkler system and for upgrading the existing fire alarm system at the City Administration Building located at 202 C Street in Centre City. One component of the project is asbestos spot abatement. All work will be performed during non-working hours allowing the facility to remain occupied and operational during construction. Phase I provided for the installation of fire sprinklers on the 10th, 14th, and 15th floors. Phase II provided for the installation of eight-inch stand pipes and eight-inch basement lateral. Phase III provided for the installation of sprinklers in the remaining basement and on the 11th and 13th floors and a fire alarm system in the basement and on the 10th, 11th, and 13th floors. Included in Phase III was abatement of amosite ceiling tile on the 11th floor. Phase IV will provide for the installation of sprinklers and alarm system for the 1st through the 9th, and 12th floors. Spot asbestos abatement is not required on the 6th and 7th floors due to prior asbestos abatement.",This facility currently does not comply with Council Ordinance O-17172 requiring sprinkler retrofitting for high-rise buildings.,0,0,5000000,0,0,0,0,0,0,0,0,0,2010,2010,6198000,0,
2008,123,Engineering & Capital Projects,Facilities - Eng,Martin Luther King Junior Community Park - Recreation Center Roof Replacement,29-914.0,Council District: 4; Community Plan: Southeastern San Diego,0,180328,"This project provides for the replacement of approximately 11,000 square feet of asphalt concrete shingle roof at the Martin Luther King Junior Community Park Recreation Center.","This project provides for the necessary roof replacement to prevent further water damage, during inclimate weather, to the Martin Luther King Junior Community Park Recreation Center.",0,61000,119328,0,0,0,0,0,0,0,0,0,2009,2010,180328,0,
2008,124,Engineering & Capital Projects,Storm Drains/Flood Control,Famosa Slough Salt Marsh Restoration,12-152.0,Council District: 2; Community Plan: Peninsula,242000,288000,This project provides for 0.64 acres of tidal salt marsh habitat and associated upland buffer as mitigation for impacts to 0.1 acres of coastal salt marsh by the Sorrento West channel clearing project resulting from the El Nino storms of 1997. The mitigation site is located on the tidal channel that is north of West Point Loma Boulevard. The high area adjacent to an access road will be graded to the elevation of the existing salt marsh habitat and will be planted with salt marsh plant species.,"The 0.64 acre mitigation project in Famosa Slough is required by the Army Corps of Engineers, Coastal Commission, and California Department of Fish and Game permits and agreements. The Famosa Slough was chosen as the mitigation site because opportunities for coastal salt marsh mitigation in the Los Penasquitos Lagoon have been exhausted. This option utilizes an available, City-owned site within the Coastal Zone and is consistent with the 1993 Famosa Slough Enhancement Plan.",0,24000,22000,0,0,0,0,0,0,0,0,0,2009,2010,288000,0,
2008,125,Engineering & Capital Projects,Storm Drains/Flood Control,La Jolla Ecological Reserve Area of Special Biological Significance,12-160.0,Council District: 1; Community Plan: La Jolla,920000,920000,This project provides for diversion systems for the 17 storm drain system outfalls that discharge directly into the La Jolla Ecological Reserve Area of Special Biological Significance (ASBS 29).,This project will address the stringent storm drain discharge water quality standards requried by the California Ocean Plan's Areas of Special Biological Significance requirements in the La Jolla Shores area.,0,0,0,0,0,0,0,0,0,0,0,0,,,920000,0,
2008,126,Engineering & Capital Projects,Storm Drains/Flood Control,Storm Station N Improvements,12-127.0,Council District: 2; Community Plan: Mission Beach,1885666,2070666,This project provides for eliminating the submerged outfall and for relocating and/or modifying the existing control system at the storm water pumping station at Santa Clara Point in Mission Beach.,"This station has not operated reliably. This project will improve the reliability of the pump station, thus preventing potential flooding of City streets.",0,0,185000,0,0,0,0,0,0,0,0,0,2010,2010,2070666,0,
2008,127,Engineering & Capital Projects,Storm Drains/Flood Control,Talbot Street Slope,13-501.0,Council District: 2; Community Plan: Peninsula,460000,1316000,This project provides for the stabilization of the slope adjacent to Talbot Street at Martinez Street.,The winter storms of 2004 and 2005 eroded the steep slope adjacent to Talbot Street and threatened the houses at the top of the slope. This project is eligible for Federal Highways Adminstration (FHWA) reimbursement.,0,856000,0,0,0,0,0,0,0,0,0,0,2009,2009,1316000,0,
2008,128,Engineering & Capital Projects,Storm Drains/Flood Control,Tia Juana River Valley Channel Study,12-151.0,Council District: 8; Community Plan: Tia Juana River Valley,40000,40000,This project provides for the feasibility study relating to the Tia Juana River Valley pilot channel and to eliminate ponding in the channel.,"The study will investigate the feasibility of various improvements in the Tia Juana River Valley pilot channel, which will provide better accessibility to both pedestrians and equestrians. In addition, this study will examine the elimination of ponding in the channel.",0,0,0,0,0,0,0,0,0,0,0,0,,,40000,0,
2008,129,Engineering & Capital Projects,Storm Water Program,Beach Area Sewage Interception/Low Flow Storm Drain Diversion,12-124.0,"Council District: 1, 2; Community Plan: La Jolla, Pacific Beach",6468247,6468247,"This project provides for the beach area interception and diversion of sewer spills and storm drain low-flows. Federal grants are available for 55 percent of the construction costs for Phase II, which has 10 sites and Phase III, which has 11 sites. Sewer funds are available as City match for the construction of Phase II and the design and construction of Phase III.","This project provides for returning dry weather sewer overflows and low flow storm runoff to the sewer, preventing pollution in the beach areas.",0,0,0,0,0,0,0,0,0,0,0,0,,,6468247,0,
2008,130,Engineering & Capital Projects,Streets and Bridges,Laurel Street (Cabrillo) Bridge over Highway 163 - Structural Retrofit,53-061.0,Council District: 3; Community Plan: Balboa Park,420000,470000,"This project provides for the maintenance, rehabilitation, and seismic retrofitting of the Laurel Street (Cabrillo) Bridge over Highway 163.",This bridge has been identified by Caltrans as requiring maintenance and rehabilitation and is also seismically deficient.,0,50000,0,0,0,0,0,0,0,0,0,0,2009,2009,470000,0,
